trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20211126,514165.37992750027,11,948152.3799275003,0.0,1400989.839859499,2183227.8808607375
20211129,548948.6797774002,10,942963.6797774002,0.03693522640047152,1398480.9514445125,2178650.321296651
20211130,613916.5690826502,9,937114.5690826502,0.0694178274953941,1392889.5332121362,2165295.3194107763
20211201,613916.5690826502,9,937951.5690826502,0.0,1396298.231495265,2160541.2652931185
20211202,692552.8198883502,7,935646.8198883502,0.08415420148533803,1399847.3133778765,2170957.088183817
20211203,728887.3235483503,6,937437.3235483503,0.03880984796112989,1412777.1617618597,2189856.5231594313
20211206,773606.7126683502,5,935736.7126683502,0.047852776741346435,1410356.7409581286,2186957.971680897
20211207,797404.8143650002,4,936605.8143650002,0.02544195128252074,1418854.8780072283,2199954.4644866516
20211208,797404.8143650002,4,939419.8143650002,0.0,1440136.7722530055,2236707.6596846757
20211209,797404.8143650002,4,941922.8143650002,0.0,1463993.4227833413,2270113.0391561794
20211210,797404.8143650002,4,941320.8143650002,0.0,1457198.2512181518,2264136.945113726
20211213,797404.8143650002,4,943370.8143650002,0.0,1465466.6146180776,2272730.301871283
20211214,797404.8143650002,4,944309.8143650002,0.0,1455635.3234193109,2250217.006176097
20211215,797404.8143650002,4,943430.8143650002,0.0,1443010.5427218422,2227202.700447663
20211216,797404.8143650002,4,941212.8143650002,0.0,1451322.0012924515,2238574.2943405346
20211217,797404.8143650002,4,938025.8143650002,0.0,1428269.054075705,2201418.881127691
20211220,797404.8143650002,4,938247.8143650002,0.0,1406839.050808543,2169785.750151749
20211221,797404.8143650002,4,937848.8143650002,0.0,1416371.1548658253,2181538.7272419115
20211222,797404.8143650002,4,937081.8143650002,0.0,1416650.5095809354,2184821.7699597282
20211223,797404.8143650002,4,938804.8143650002,0.0,1426533.428505919,2196343.8439168967
20211224,797404.8143650002,4,939137.8143650002,0.0,1418636.7789695105,2181580.098190805
20211227,797404.8143650002,4,940356.8143650002,0.0,1418054.1726185565,2183183.743460934
20211228,797404.8143650002,4,941412.8143650002,0.0,1428616.2656682653,2208973.3810879886
20211229,797404.8143650002,4,936605.8143650002,0.0,1407721.8820442227,2171213.899475469
20211230,1932.8263396003822,24,942702.8263396004,0.8435674485964935,1418684.6304633794,2179834.8250654982
20211231,1932.8263396003822,24,945803.8263396004,0.0,1424121.9438245369,2191469.3532919856
20220104,1932.8263396003822,24,949865.8263396004,0.0,1417604.9162740104,2183366.997836908
