symbol,entry_trade_date,exit_trade_date,entry_price,exit_price,shares,entry_value,exit_net_value,realized_pnl,return_pct,holding_days,exit_reason,signal_close_adj,signal_sar,signal_rsi,signal_volume_ratio,signal_strength
002594.SZ,20230530,20230815,79.70673875123019,79.95159124099176,1200,95676.78092742666,95817.18500685415,140.40407942750608,0.0014674833127381,77.0,sar_break,79.99158703450901,90.00111114638558,28.431792875627266,2.36193317663284,0.0
000858.SZ,20230629,20230815,149.53324654942284,151.7325331331192,100,14957.810652338769,15153.528084004616,195.7174316658493,0.0130846309138996,47.0,sar_break,151.8174408769331,169.77947352724036,23.89635316698663,1.1977997952149548,0.0
002475.SZ,20230629,20230815,29.836541784901137,32.559475838455704,500,14922.746373718302,16258.574259932857,1335.8278862145526,0.0895162226014368,47.0,sar_break,32.131548760493374,35.12259615663146,53.695324283559586,1.2356057853406475,0.0
300498.SZ,20230727,20230815,17.26720712008501,16.52202178533475,1000,17272.387282221036,16500.543157013813,-771.8441252072225,-0.0446865921077223,19.0,sar_break,16.60694912904865,18.849318486346625,40.568475452196395,0.7771621536044803,0.0
000792.SZ,20230727,20230815,19.6098,18.91054,900,17654.114645999998,16997.3606682,-656.7539777999991,-0.0372011845945955,19.0,sar_break,18.92,20.44,38.29787234042553,0.7421797186255129,0.0
600031.SH,20230727,20230815,16.512591047080008,15.133325067952262,1100,18169.299306833545,16625.016919900318,-1544.2823869332278,-0.0849940529270942,19.0,sar_break,15.121826377781009,17.190827843089004,26.0526315789474,0.783477916912119,0.0
601012.SH,20230727,20230818,28.844577553037784,27.749228981319543,700,20197.261648412587,19399.20848855068,-798.0531598619054,-0.0395129386227775,22.0,sar_break,27.84215142067776,30.934626010696263,39.3890675241157,0.6383765193301371,0.0
300274.SZ,20230530,20230822,75.74693906579255,69.38810984088852,1900,143962.35998027332,131666.0200663812,-12296.339913892123,-0.0854135755733446,84.0,sar_break,69.09025683833335,87.50601121822606,39.89226869455004,2.3454952521178654,0.0
600309.SH,20230629,20230822,86.07586537021051,88.39178315035039,100,8610.168812982156,8827.687383225493,217.5185702433373,0.0252629855427885,54.0,sar_break,87.94575810106744,95.91461081347154,9.749670619236,1.14496374415421,0.0
600036.SH,20230727,20230822,30.302480894289648,28.20284062435721,600,18186.94298313476,16899.70615892733,-1287.2368242074335,-0.0707780755348011,26.0,sar_break,28.14462112941251,32.583750257116186,17.72575250836111,1.1804421391344635,0.0
