relative_path,bytes,sha256,rows,start_date,end_date,columns
data/interim/sar_project/prices/002714.SZ.csv,546116,bee8e4583d8873dec3064426bf353bfbe68a4258d3d32ab6a4d6932580c59e45,2420,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002736.SZ.csv,532290,d515bdb48a09efcc321d4bb7694488ad27097a787297b4e031f4ca81e9a3426d,2420,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002739.SZ.csv,353151,770b4ed6b4dbf7cdbbeee60cdc58da15cd3d0f3d3c8b2ad2d0a221436beccbb3,2026,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002812.SZ.csv,465201,512c00c7f54f7771b9a13095eac3932c9fa61abc96f81bc339a458b813de12b2,2161,20160914,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/300014.SZ.csv,547772,5547a8618e5ca632ac00cc4fa61d174526e56d5ecc1492987a32590f3633a53d,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/300015.SZ.csv,540762,63d8d2d43f554b080293569dd2428a81441aae8d02b25513a11942d66f97dcc3,2414,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/300059.SZ.csv,545574,778a694ecdf170728a43601bed24d6799a0eeae3ae1728d403be82519ae31f80,2425,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/300070.SZ.csv,504073,d9bff49b4933a0b9f58cb0b885be359328ac85c9ed1c294240c297cfc2ebc127,2407,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/300104.SZ.csv,109353,1ecd65a773f9edd592046304bf1f3ec1695e8c8bb7a18b3cbc5456d7bbf3ab94,500,20160603,20200720,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/300122.SZ.csv,536460,213db2aa5456c5b53722154c8712a2fefaeb9769515ff017f2350a87a170a343,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
