trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20220520,301932.8958725946,17,825064.7723691075,0.0,1175417.1194542206,1785937.3257663553
20220523,301932.8958725946,17,816852.93419548,0.0,1168609.091403329,1766337.6821718274
20220524,301932.8958725946,17,810154.6765026479,0.0,1141273.72374733,1731972.1558138777
20220525,301932.8958725946,17,813078.8108372161,0.0,1148199.0167844014,1739551.2060895092
20220526,301932.8958725946,17,815755.5829770188,0.0,1151043.0674398774,1744859.481039823
20220527,329217.31973224954,16,814244.070689374,0.0335525191583409,1153422.4397332054,1754861.095456156
20220530,329217.31973224954,16,810994.2226438822,0.0,1161412.8032494737,1765829.4625708412
20220531,427017.1569355384,15,813798.5453233812,0.12033339584013432,1179429.0924745107,1793976.7800319963
20220601,427017.1569355384,15,812911.585162349,0.0,1177024.8719958125,1786557.3333748786
20220602,451141.58862922405,13,809561.299189207,0.029838178161974857,1178867.154509764,1781714.459294323
20220606,1843.0591288577925,32,822386.2390424302,0.5461713232084885,1200924.0411728087,1816713.5595287364
20220607,12446.65546186776,31,824622.8753318513,0.012875460127606052,1204683.9867166558,1829401.502855961
20220608,12446.65546186776,31,833439.9627556077,0.0,1216411.551904083,1848024.376275314
20220609,12446.65546186776,31,826547.9959195353,0.0,1203688.387382172,1830166.3618294338
20220610,12446.65546186776,31,837280.5263045109,0.0,1221940.820846832,1853951.787024354
20220613,12446.65546186776,31,830631.6775611845,0.0,1207631.2351721625,1826337.90752265
20220614,12446.65546186776,31,834435.932399753,0.0,1217131.9763226195,1839132.6679342228
20220615,12446.65546186776,31,841440.0994666464,0.0,1233247.6676288275,1867568.9699383772
20220616,12446.65546186776,31,837214.0089480677,0.0,1225131.2471350357,1856017.4267354666
20220617,12446.65546186776,31,849483.650602051,0.0,1242133.805345081,1880210.3208676898
20220620,12446.65546186776,31,855204.4561923364,0.0,1248299.2685466767,1891090.2599086796
20220621,33181.01168975044,30,855106.3080282598,0.024279257190285522,1246896.2685116818,1895558.247526427
